"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2016";9558;"Atteintes à caractère raciste, xénophobe ou antireligieux";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2017";8936;"Atteintes à caractère raciste, xénophobe ou antireligieux";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2018";9560;"Atteintes à caractère raciste, xénophobe ou antireligieux";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2019";11147;"Atteintes à caractère raciste, xénophobe ou antireligieux";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2020";11312;"Atteintes à caractère raciste, xénophobe ou antireligieux";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2021";13064;"Atteintes à caractère raciste, xénophobe ou antireligieux";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2022";12538;"Atteintes à caractère raciste, xénophobe ou antireligieux";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
