"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2016";628;"Atteintes à la probité";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2017";609;"Atteintes à la probité";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2018";729;"Atteintes à la probité";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2019";720;"Atteintes à la probité";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2020";702;"Atteintes à la probité";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2021";801;"Atteintes à la probité";"Etat 4001, base historique des crimes et délits enregistrés par la police et la gendarmerie, traitement SSMSI";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
