"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2016";95086;"Outrages et violences contre dépositaires de l'autorité publique";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Ensemble des lieux hors transport en commun";"Nombre";"France";"Annuelle";"Victimes";"Non Renseigné"
"2017";99403;"Outrages et violences contre dépositaires de l'autorité publique";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Ensemble des lieux hors transport en commun";"Nombre";"France";"Annuelle";"Victimes";"Non Renseigné"
"2018";111106;"Outrages et violences contre dépositaires de l'autorité publique";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Ensemble des lieux hors transport en commun";"Nombre";"France";"Annuelle";"Victimes";"Non Renseigné"
"2019";114358;"Outrages et violences contre dépositaires de l'autorité publique";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Ensemble des lieux hors transport en commun";"Nombre";"France";"Annuelle";"Victimes";"Non Renseigné"
"2020";112675;"Outrages et violences contre dépositaires de l'autorité publique";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Ensemble des lieux hors transport en commun";"Nombre";"France";"Annuelle";"Victimes";"Non Renseigné"
"2021";111138;"Outrages et violences contre dépositaires de l'autorité publique";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Ensemble des lieux hors transport en commun";"Nombre";"France";"Annuelle";"Victimes";"Non Renseigné"
"2022";107947;"Outrages et violences contre dépositaires de l'autorité publique";"SSMSI, base statistique des victimes enregistrées par la police et la gendarmerie";"Ensemble des lieux hors transport en commun";"Nombre";"France";"Annuelle";"Victimes";"Non Renseigné"
