"Unité de temps";"Valeurs";"Indicateurs";"Source";"Sous-indicateurs";"Statistique";"Zone géographique";"Périodicité";"Unité de compte";"Correction"
"2016";1810;"Atteintes anti LGBT";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2017";1929;"Atteintes anti LGBT";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2018";2450;"Atteintes anti LGBT";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2019";3330;"Atteintes anti LGBT";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2020";3259;"Atteintes anti LGBT";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2021";3919;"Atteintes anti LGBT";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
"2022";4040;"Atteintes anti LGBT";"SSMSI, base statistique des infractions enregistrées ou élucidées par la police et la gendarmerie";"Ensemble";"Nombre";"France";"Annuelle";"Infractions";"Non Renseigné"
